DateTime,PM2_5,Humi,Temp
2018-12-05 23:00,39,1.0,0.0
2018-12-06 00:00,36,0.0,0.0
2018-12-06 01:00,36,1.0,0.0
2018-12-06 02:00,35,1.0,0.0
2018-12-06 03:00,40,1.0,-1.0
2018-12-06 04:00,42,0.0,0.0
2018-12-06 05:00,74,1.0,0.0
2018-12-06 06:00,53,0.0,0.0
2018-12-06 07:00,53,0.0,0.0
2018-12-06 08:00,58,0.0,1.0
2018-12-06 09:00,48,-1.0,0.0
2018-12-06 10:00,47,-3.0,0.0
2018-12-06 11:00,47,-3.0,0.0
2018-12-06 12:00,46,-2.0,1.0
2018-12-06 13:00,45,-3.0,0.0
2018-12-06 14:00,51,-1.0,0.0
2018-12-06 15:00,46,-2.0,0.0
2018-12-06 16:00,45,3.0,0.0
2018-12-06 17:00,49,3.0,0.0
2018-12-06 18:00,49,1.0,0.0
2018-12-06 19:00,46,-1.0,0.0
2018-12-06 20:00,41,2.0,0.0
2018-12-06 21:00,44,2.0,-1.0
2018-12-06 22:00,45,1.0,0.0
2018-12-06 23:00,52,1.0,0.0
2018-12-07 00:00,48,1.0,0.0
2018-12-07 01:00,55,1.0,0.0
2018-12-07 02:00,54,0.0,0.0
2018-12-07 03:00,50,1.0,0.0
2018-12-07 04:00,49,0.0,0.0
2018-12-07 05:00,62,0.0,0.0
2018-12-07 06:00,55,1.0,-1.0
2018-12-07 07:00,60,0.0,0.0
2018-12-07 08:00,72,-2.0,0.0
2018-12-07 09:00,65,-2.0,1.0
2018-12-07 10:00,68,1.0,0.0
2018-12-07 11:00,70,-1.0,0.0
2018-12-07 12:00,60,-2.0,0.0
2018-12-07 13:00,50,-5.0,0.0
2018-12-07 14:00,47,-3.0,0.0
2018-12-07 15:00,48,-3.0,0.0
2018-12-07 16:00,46,-2.0,-1.0
2018-12-07 17:00,47,-2.0,0.0
2018-12-07 18:00,50,-1.0,-1.0
2018-12-07 19:00,54,4.0,0.0
2018-12-07 20:00,51,1.0,-1.0
2018-12-07 21:00,48,-1.0,0.0
2018-12-07 22:00,44,0.0,-1.0
2018-12-07 23:00,46,4.0,0.0
2018-12-08 00:00,37,-2.0,-1.0
2018-12-08 01:00,33,-1.0,0.0
2018-12-08 02:00,28,0.0,0.0
2018-12-08 03:00,27,2.0,-1.0
2018-12-08 04:00,28,0.0,0.0
2018-12-08 05:00,27,0.0,-1.0
2018-12-08 06:00,24,-1.0,0.0
2018-12-08 07:00,23,-2.0,0.0
2018-12-08 08:00,20,-2.0,0.0
2018-12-08 09:00,21,2.0,0.0
2018-12-08 10:00,31,0.0,0.0
2018-12-08 11:00,17,1.0,0.0
2018-12-08 12:00,35,6.0,0.0
2018-12-08 13:00,31,1.0,-1.0
2018-12-08 14:00,21,-1.0,0.0
2018-12-08 15:00,26,2.0,0.0
2018-12-08 16:00,17,-3.0,0.0
2018-12-08 17:00,25,-1.0,0.0
2018-12-08 18:00,23,3.0,0.0
2018-12-08 19:00,24,1.0,-1.0
2018-12-08 20:00,24,0.0,0.0
2018-12-08 21:00,25,-1.0,0.0
2018-12-08 22:00,20,1.0,0.0
2018-12-08 23:00,27,0.0,0.0
2018-12-09 00:00,26,0.0,0.0
2018-12-09 01:00,29,1.0,0.0
2018-12-09 02:00,29,0.0,0.0
2018-12-09 03:00,29,0.0,0.0
2018-12-09 04:00,20,-1.0,-1.0
2018-12-09 05:00,18,1.0,1.0
2018-12-09 06:00,12,0.0,-1.0
2018-12-09 07:00,12,1.0,0.0
2018-12-09 08:00,13,-2.0,0.0
2018-12-09 09:00,15,0.0,0.0
2018-12-09 10:00,14,0.0,0.0
2018-12-09 11:00,15,0.0,0.0
2018-12-09 12:00,15,0.0,0.0
2018-12-09 13:00,12,-1.0,0.0
2018-12-09 14:00,17,-1.0,1.0
2018-12-09 15:00,20,1.0,-1.0
2018-12-09 16:00,15,-1.0,0.0
2018-12-09 17:00,18,-1.0,0.0
2018-12-09 18:00,27,-1.0,0.0
2018-12-09 19:00,19,-1.0,0.0
2018-12-09 20:00,15,0.0,0.0
2018-12-09 21:00,14,-1.0,0.0
2018-12-09 22:00,33,0.0,0.0
2018-12-09 23:00,33,0.0,0.0
2018-12-10 00:00,18,0.0,0.0
2018-12-10 01:00,21,1.0,0.0
2018-12-10 02:00,23,2.0,0.0
2018-12-10 03:00,24,1.0,0.0
2018-12-10 04:00,29,-1.0,0.0
2018-12-10 05:00,29,0.0,0.0
2018-12-10 06:00,22,0.0,0.0
2018-12-10 07:00,23,0.0,0.0
2018-12-10 08:00,30,0.0,0.0
2018-12-10 09:00,35,0.0,0.0
2018-12-10 10:00,36,-1.0,1.0
2018-12-10 11:00,35,-1.0,1.0
2018-12-10 12:00,33,-1.0,0.0
2018-12-10 13:00,34,1.0,0.0
2018-12-10 14:00,32,0.0,1.0
2018-12-10 15:00,31,4.0,0.0
2018-12-10 16:00,34,0.0,0.0
2018-12-10 17:00,54,2.0,0.0
2018-12-10 18:00,56,0.0,0.0
2018-12-10 19:00,50,-2.0,0.0
2018-12-10 20:00,51,-1.0,0.0
2018-12-10 21:00,48,-1.0,0.0
2018-12-10 22:00,48,-2.0,0.0
2018-12-10 23:00,43,-1.0,-1.0
2018-12-11 00:00,41,0.0,0.0
2018-12-11 01:00,71,0.0,0.0
2018-12-11 02:00,41,0.0,0.0
2018-12-11 03:00,40,1.0,0.0
2018-12-11 04:00,46,4.0,0.0
2018-12-11 05:00,47,2.0,0.0
2018-12-11 06:00,48,0.0,-1.0
2018-12-11 07:00,34,0.0,0.0
2018-12-11 08:00,27,-3.0,0.0
2018-12-11 09:00,21,-2.0,0.0
2018-12-11 10:00,15,1.0,0.0
2018-12-11 11:00,11,-3.0,0.0
2018-12-11 12:00,8,-2.0,0.0
2018-12-11 13:00,8,-3.0,0.0
2018-12-11 14:00,7,0.0,0.0
2018-12-11 15:00,13,7.0,-1.0
2018-12-11 16:00,17,3.0,0.0
2018-12-11 17:00,23,2.0,0.0
2018-12-11 18:00,19,-1.0,0.0
2018-12-11 19:00,21,1.0,-1.0
